instance,n,known_opt,heuristic,rep,seed,init_semi,init_feas,final_semi,final_feas,gap_pct,t_best_feas,t_best_semi,wall_s,conv_itr
airland2,15,1480.0,MDD,5,110,1500.0,1500.0,1480.0,1480.0,0.0,1.9025,1.9019,11.1314,39
airland2,15,1480.0,MPDS,1,42,1500.0,1500.0,1480.0,1480.0,0.0,2.6943,2.6933,14.6625,37
airland2,15,1480.0,MPDS,2,59,1500.0,1500.0,1480.0,1480.0,0.0,2.4266,2.4255,17.3834,31
airland2,15,1480.0,MPDS,3,76,1500.0,1500.0,1480.0,1480.0,0.0,3.0332,3.0321,17.0743,39
airland2,15,1480.0,MPDS,4,93,1500.0,1500.0,1480.0,1480.0,0.0,2.1064,2.1057,11.3152,43
airland2,15,1480.0,MPDS,5,110,1500.0,1500.0,1480.0,1480.0,0.0,2.525,2.524,15.0452,35
airland3,20,820.0,ATC_k2,1,42,820.0,820.0,820.0,820.0,0.0,0.0,0.0,16.4001,0
airland3,20,820.0,ATC_k2,2,59,820.0,820.0,820.0,820.0,0.0,0.0,0.0,10.1142,0
airland3,20,820.0,ATC_k2,3,76,820.0,820.0,820.0,820.0,0.0,0.0,0.0,14.4324,0
airland3,20,820.0,ATC_k2,4,93,820.0,820.0,820.0,820.0,0.0,0.0,0.0,15.2533,0
airland3,20,820.0,ATC_k2,5,110,820.0,820.0,820.0,820.0,0.0,0.0,0.0,16.4245,0
airland3,20,820.0,ATC_k4,1,42,820.0,820.0,820.0,820.0,0.0,0.0,0.0,16.4335,0
airland3,20,820.0,ATC_k4,2,59,820.0,820.0,820.0,820.0,0.0,0.0,0.0,16.4011,0
airland3,20,820.0,ATC_k4,3,76,820.0,820.0,820.0,820.0,0.0,0.0,0.0,16.3955,0
airland3,20,820.0,ATC_k4,4,93,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.9844,0
airland3,20,820.0,ATC_k4,5,110,820.0,820.0,820.0,820.0,0.0,0.0,0.0,10.6488,0
airland3,20,820.0,EDD,1,42,1730.0,1730.0,820.0,820.0,0.0,3.9311,3.9297,19.1426,44
airland3,20,820.0,EDD,2,59,1730.0,1730.0,820.0,820.0,0.0,3.5112,3.5099,17.3772,43
airland3,20,820.0,EDD,3,76,1730.0,1730.0,820.0,820.0,0.0,3.3699,3.3686,17.5341,42
airland3,20,820.0,EDD,4,93,1730.0,1730.0,820.0,820.0,0.0,4.6912,4.6893,17.8144,51
airland3,20,820.0,EDD,5,110,1730.0,1730.0,820.0,820.0,0.0,4.2,4.1981,19.8604,47
airland3,20,820.0,ERD,1,42,1790.0,1790.0,820.0,820.0,0.0,3.478,3.4768,16.7356,43
airland3,20,820.0,ERD,2,59,1790.0,1790.0,820.0,820.0,0.0,3.7604,3.7591,16.991,47
airland3,20,820.0,ERD,3,76,1790.0,1790.0,820.0,820.0,0.0,4.513,4.5112,19.4072,49
airland3,20,820.0,ERD,4,93,1790.0,1790.0,820.0,820.0,0.0,2.3469,2.3461,12.4443,43
airland3,20,820.0,ERD,5,110,1790.0,1790.0,820.0,820.0,0.0,3.858,3.8565,19.7862,42
airland3,20,820.0,MDD,1,42,1730.0,1730.0,820.0,820.0,0.0,3.9277,3.9263,18.9329,44
airland3,20,820.0,MDD,2,59,1730.0,1730.0,820.0,820.0,0.0,3.8376,3.8362,18.8875,43
airland3,20,820.0,MDD,3,76,1730.0,1730.0,820.0,820.0,0.0,2.2667,2.2659,12.3524,42
airland3,20,820.0,MDD,4,93,1730.0,1730.0,820.0,820.0,0.0,6.1585,6.1565,20.5783,51
airland3,20,820.0,MDD,5,110,1730.0,1730.0,820.0,820.0,0.0,2.5649,2.5641,12.5574,47
airland3,20,820.0,MPDS,1,42,980.0,980.0,820.0,820.0,0.0,3.4546,3.4533,18.7702,43
airland3,20,820.0,MPDS,2,59,980.0,980.0,820.0,820.0,0.0,3.808,3.8066,19.6451,43
airland3,20,820.0,MPDS,3,76,980.0,980.0,820.0,820.0,0.0,3.6729,3.6715,18.8855,42
airland3,20,820.0,MPDS,4,93,980.0,980.0,820.0,820.0,0.0,3.6205,3.6192,17.3631,45
airland3,20,820.0,MPDS,5,110,980.0,980.0,820.0,820.0,0.0,4.7799,4.778,19.577,52
airland4,20,2520.0,ATC_k2,1,42,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,16.0535,0
airland4,20,2520.0,ATC_k2,2,59,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,16.6005,0
airland4,20,2520.0,ATC_k2,3,76,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,16.6333,0
airland4,20,2520.0,ATC_k2,4,93,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,16.6056,0
airland4,20,2520.0,ATC_k2,5,110,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,13.7536,0
airland4,20,2520.0,ATC_k4,1,42,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,14.8501,0
airland4,20,2520.0,ATC_k4,2,59,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,15.2301,0
airland4,20,2520.0,ATC_k4,3,76,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,16.1872,0
airland4,20,2520.0,ATC_k4,4,93,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.7645,0
airland4,20,2520.0,ATC_k4,5,110,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,10.3584,0
airland4,20,2520.0,EDD,1,42,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,10.5886,0
airland4,20,2520.0,EDD,2,59,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,10.5429,0
airland4,20,2520.0,EDD,3,76,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,15.041,0
airland4,20,2520.0,EDD,4,93,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,10.444,0
airland4,20,2520.0,EDD,5,110,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,10.5481,0
airland4,20,2520.0,ERD,1,42,4890.0,4890.0,2520.0,2520.0,0.0,4.5197,4.5178,19.2611,48
airland4,20,2520.0,ERD,2,59,4890.0,4890.0,2520.0,2520.0,0.0,4.3067,4.3048,18.5756,47
airland4,20,2520.0,ERD,3,76,4890.0,4890.0,2520.0,2520.0,0.0,4.3912,4.3893,18.93,47
airland4,20,2520.0,ERD,4,93,4890.0,4890.0,2520.0,2520.0,0.0,4.0987,4.097,16.4622,49
airland4,20,2520.0,ERD,5,110,4890.0,4890.0,2520.0,2520.0,0.0,4.37,4.3681,19.2358,47
airland4,20,2520.0,MDD,1,42,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,16.6574,0
airland4,20,2520.0,MDD,2,59,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,14.3465,0
airland4,20,2520.0,MDD,3,76,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,15.9854,0
airland4,20,2520.0,MDD,4,93,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,15.0744,0
airland4,20,2520.0,MDD,5,110,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,14.9539,0
airland4,20,2520.0,MPDS,1,42,8560.0,8560.0,2520.0,2520.0,0.0,4.175,4.1731,18.9183,45
airland4,20,2520.0,MPDS,2,59,8560.0,8560.0,2520.0,2520.0,0.0,5.728,5.7266,20.7113,60
airland4,20,2520.0,MPDS,3,76,8560.0,8560.0,2520.0,2520.0,0.0,4.4754,4.4735,18.8746,48
airland4,20,2520.0,MPDS,4,93,8560.0,8560.0,2520.0,2520.0,0.0,4.1415,4.1398,16.551,49
airland4,20,2520.0,MPDS,5,110,8560.0,8560.0,2520.0,2520.0,0.0,4.5342,4.5323,19.0852,49
airland5,20,3100.0,ATC_k2,1,42,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,15.6999,0
airland5,20,3100.0,ATC_k2,2,59,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,10.6397,0
airland5,20,3100.0,ATC_k2,3,76,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,17.1155,0
airland5,20,3100.0,ATC_k2,4,93,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,17.1896,0
airland5,20,3100.0,ATC_k2,5,110,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,16.9887,0
airland5,20,3100.0,ATC_k4,1,42,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,16.6638,0
airland5,20,3100.0,ATC_k4,2,59,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,15.7983,0
airland5,20,3100.0,ATC_k4,3,76,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,15.8928,0
airland5,20,3100.0,ATC_k4,4,93,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,10.1037,0
airland5,20,3100.0,ATC_k4,5,110,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,10.0914,0
airland5,20,3100.0,EDD,1,42,5420.0,5420.0,3100.0,3100.0,0.0,4.5149,4.5133,19.7147,46
airland5,20,3100.0,EDD,2,59,5420.0,5420.0,3100.0,3100.0,0.0,4.4856,4.484,19.769,46
airland5,20,3100.0,EDD,3,76,5420.0,5420.0,3100.0,3100.0,0.0,5.0182,5.0166,20.3505,52
airland5,20,3100.0,EDD,4,93,5420.0,5420.0,3100.0,3100.0,0.0,4.4334,4.4318,19.3997,45
airland5,20,3100.0,EDD,5,110,5420.0,5420.0,3100.0,3100.0,0.0,4.2539,4.2525,17.8272,47
airland5,20,3100.0,ERD,1,42,6470.0,6470.0,3100.0,3100.0,0.0,4.174,4.1725,18.4086,46
airland5,20,3100.0,ERD,2,59,6470.0,6470.0,3100.0,3100.0,0.0,4.478,4.4764,20.4793,46
airland5,20,3100.0,ERD,3,76,6470.0,6470.0,3100.0,3100.0,0.0,4.4466,4.445,20.6147,45
airland5,20,3100.0,ERD,4,93,6470.0,6470.0,3100.0,3100.0,0.0,5.0707,5.0692,20.4775,52
airland5,20,3100.0,ERD,5,110,6470.0,6470.0,3100.0,3100.0,0.0,2.6375,2.6311,13.4576,43
airland5,20,3100.0,MDD,1,42,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,10.5835,0
airland5,20,3100.0,MDD,2,59,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,17.1019,0
airland5,20,3100.0,MDD,3,76,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,17.0804,0
airland5,20,3100.0,MDD,4,93,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,15.2183,0
airland5,20,3100.0,MDD,5,110,3100.0,3100.0,3100.0,3100.0,0.0,0.0,0.0,10.714,0
airland5,20,3100.0,MPDS,1,42,9270.0,9270.0,3100.0,3100.0,0.0,3.5993,3.5978,18.042,39
airland5,20,3100.0,MPDS,2,59,9270.0,9270.0,3100.0,3100.0,0.0,3.6182,3.6168,16.5068,39
airland5,20,3100.0,MPDS,3,76,9270.0,9270.0,3100.0,3100.0,0.0,4.8338,4.8323,17.6229,49
airland5,20,3100.0,MPDS,4,93,9270.0,9270.0,3100.0,3100.0,0.0,4.9451,4.9435,20.871,51
airland5,20,3100.0,MPDS,5,110,9270.0,9270.0,3100.0,3100.0,0.0,4.099,4.0974,19.7256,42
airland6,30,24442.0,ATC_k2,1,42,inf,,inf,,,0.0,0.0,0.1844,240
airland6,30,24442.0,ATC_k2,2,59,inf,,inf,,,0.0,0.0,0.1802,240
airland6,30,24442.0,ATC_k2,3,76,inf,,inf,,,0.0,0.0,0.1934,240
airland6,30,24442.0,ATC_k2,4,93,inf,,inf,,,0.0,0.0,0.1371,240
airland6,30,24442.0,ATC_k2,5,110,inf,,inf,,,0.0,0.0,0.1672,240
airland6,30,24442.0,ATC_k4,1,42,inf,,inf,,,0.0,0.0,0.2107,240
airland6,30,24442.0,ATC_k4,2,59,inf,,inf,,,0.0,0.0,0.1933,240
airland6,30,24442.0,ATC_k4,3,76,inf,,inf,,,0.0,0.0,0.1898,240
airland6,30,24442.0,ATC_k4,4,93,inf,,inf,,,0.0,0.0,0.1078,240
airland6,30,24442.0,ATC_k4,5,110,inf,,inf,,,0.0,0.0,0.1095,240
airland6,30,24442.0,EDD,1,42,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.176,0
airland6,30,24442.0,EDD,2,59,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.1804,0
airland6,30,24442.0,EDD,3,76,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.0885,0
airland6,30,24442.0,EDD,4,93,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.1685,0
airland6,30,24442.0,EDD,5,110,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.0871,0
airland6,30,24442.0,ERD,1,42,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.1806,0
airland6,30,24442.0,ERD,2,59,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.1391,0
airland6,30,24442.0,ERD,3,76,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.1454,0
airland6,30,24442.0,ERD,4,93,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.1733,0
airland6,30,24442.0,ERD,5,110,24442.0,24442.0,24442.0,24442.0,0.0,0.0,0.0,0.1269,0
airland6,30,24442.0,MDD,1,42,inf,,inf,,,0.0,0.0,0.1795,240
airland6,30,24442.0,MDD,2,59,inf,,inf,,,0.0,0.0,0.0956,240
airland6,30,24442.0,MDD,3,76,inf,,inf,,,0.0,0.0,0.0994,240
airland6,30,24442.0,MDD,4,93,inf,,inf,,,0.0,0.0,0.1811,240
airland6,30,24442.0,MDD,5,110,inf,,inf,,,0.0,0.0,0.1844,240
airland6,30,24442.0,MPDS,1,42,inf,,inf,,,0.0,0.0,0.2322,240
airland6,30,24442.0,MPDS,2,59,inf,,inf,,,0.0,0.0,0.187,240
airland6,30,24442.0,MPDS,3,76,inf,,inf,,,0.0,0.0,0.2102,240
airland6,30,24442.0,MPDS,4,93,inf,,inf,,,0.0,0.0,0.2331,240
airland6,30,24442.0,MPDS,5,110,inf,,inf,,,0.0,0.0,0.2402,240
airland7,44,1550.0,ATC_k2,1,42,inf,,inf,,,0.0,0.0,0.2003,240
airland7,44,1550.0,ATC_k2,2,59,inf,,inf,,,0.0,0.0,0.1189,240
airland7,44,1550.0,ATC_k2,3,76,inf,,inf,,,0.0,0.0,0.21,240
airland7,44,1550.0,ATC_k2,4,93,inf,,inf,,,0.0,0.0,0.2075,240
airland7,44,1550.0,ATC_k2,5,110,inf,,inf,,,0.0,0.0,0.211,240
